Version,Service,tags,Type,Long Title,Indice,1970,1971,1972,1973,1974,1975,1976,197T,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Joint Inflation Calculator April 2019,n,Milcon,Raw,"MILCON (COMPOSITE) Military Construction, Navy (1205)",Milcon COMP,0.1578,0.1716,0.1821,0.1922,0.2145,0.2478,0.2562,0.2605,0.2683,0.2890,0.3152,0.3477,0.3841,0.4127,0.4328,0.4490,0.4643,0.4764,0.4891,0.5034,0.5242,0.5450,0.5682,0.5855,0.6043,0.6149,0.6257,0.6382,0.6512,0.6593,0.6696,0.6833,0.6984,0.7081,0.7185,0.7354,0.7570,0.7805,0.8013,0.8217,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,d,,Raw,Defense Wide Military Construction,Milcon DoD,0.1896,0.1982,0.2058,0.2143,0.2267,0.2467,0.2629,0.2723,0.2826,0.3018,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,,Raw,"MILCON (Purchases) = Military Construction, Navy (1205)",Milcon Purch,0.1643,0.1786,0.1892,0.1997,0.2232,0.2592,0.2670,0.2712,0.2788,0.3002,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,,Raw,"MILCON RES  (Purchases) = Military Construction, Naval Reserve (1235)",Milcon Res Purch,0.1643,0.1786,0.1892,0.1997,0.2232,0.2592,0.2670,0.2712,0.2788,0.3002,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,m,Manpower,Raw,"MPMC (COMPOSITE) Miltary Personnel, Marine Corps (1105)",MPMC COMP,0.1139,0.1230,0.1424,0.1595,0.1706,0.1818,0.1911,0.1940,0.2020,0.2159,0.2290,0.2454,0.2857,0.3237,0.3368,0.3471,0.3609,0.3716,0.3801,0.3888,0.4029,0.4180,0.4349,0.4527,0.4697,0.4816,0.4934,0.5054,0.5193,0.5334,0.5508,0.5746,0.5969,0.6321,0.6641,0.6919,0.7163,0.7392,0.7572,0.7810,0.8098,0.8372,0.8532,0.8669,0.8811,0.8920,0.9011,0.9121,0.9291,0.9505,0.9735,1.0000,1.0252,1.0500,1.0754,1.1013,1.1279,1.1550,1.1829,1.2114,1.2406,1.2705,1.3012,1.3326,1.3647,1.3976,1.4313,1.4658,1.5011,1.5373,1.5744,1.6124,1.6513,1.6911,1.7318,1.7736,1.8164,1.8602,1.9050,1.9510,1.9980,2.0462,2.0955,2.1460,2.1978,2.2508,2.3050,2.3606,2.4175,2.4758,2.5355,2.5967
Joint Inflation Calculator April 2019,m,,Raw,"MPMC (NONPAY Purchases) = Miltary Personnel, Marine Corps (1105)",MPMC Non-pay,0.1822,0.1893,0.1951,0.2067,0.2241,0.2374,0.2511,0.2649,0.2642,0.2792,0.3012,0.3235,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,Manpower,Raw,"MPN (COMPOSITE) Military Personnel, Navy (1453)",MPN COMP,0.1162,0.1249,0.1427,0.1588,0.1701,0.1811,0.1906,0.1944,0.2013,0.2149,0.2284,0.2449,0.2873,0.3241,0.3375,0.3481,0.3617,0.3725,0.3810,0.3897,0.4038,0.4189,0.4356,0.4536,0.4707,0.4826,0.4946,0.5066,0.5208,0.5352,0.5528,0.5771,0.5995,0.6351,0.6646,0.6915,0.7159,0.7388,0.7567,0.7806,0.8096,0.8371,0.8531,0.8669,0.8811,0.8920,0.9012,0.9122,0.9291,0.9504,0.9734,1.0000,1.0253,1.0503,1.0758,1.1019,1.1287,1.1562,1.1843,1.2131,1.2426,1.2728,1.3037,1.3354,1.3679,1.4011,1.4352,1.4701,1.5058,1.5424,1.5799,1.6183,1.6577,1.6980,1.7393,1.7815,1.8249,1.8692,1.9147,1.9612,2.0089,2.0577,2.1078,2.1590,2.2115,2.2653,2.3203,2.3767,2.4345,2.4937,2.5543,2.6164
Joint Inflation Calculator April 2019,n,,Raw,"MPN (NONPAY Purchases) = Military Personnel, Navy (1453)",MPN Non-pay,0.1822,0.1893,0.1951,0.2067,0.2241,0.2374,0.2511,0.2649,0.2642,0.2792,0.3012,0.3235,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,,Raw,NDSF (Purchases) = National Defense Sealift Fund (4557),NDSF,0.1896,0.1982,0.2058,0.2143,0.2267,0.2467,0.2629,0.2723,0.2826,0.3018,0.3281,0.3629,0.4014,0.4319,0.4530,0.4702,0.4862,0.4998,0.5133,0.5287,0.5509,0.5730,0.5976,0.6144,0.6309,0.6436,0.6558,0.6689,0.6809,0.6857,0.6912,0.7009,0.7135,0.7192,0.7264,0.7409,0.7617,0.7853,0.8065,0.8258,0.8382,0.8449,0.8618,0.8773,0.8905,0.9038,0.9138,0.9248,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
Joint Inflation Calculator April 2019,n,,Raw,"NDSF (BLS History) = National Defense Sealift Fund (BLS historical, OSD future)(4557)",NDSF  (BLS HIST),0.1414,0.1487,0.1552,0.1634,0.1781,0.2033,0.2266,0.2312,0.2455,0.2656,0.2917,0.3205,0.3513,0.3777,0.3920,0.4061,0.4146,0.4204,0.4268,0.4379,0.4523,0.4573,0.4646,0.4762,0.4914,0.5121,0.5321,0.5400,0.5449,0.5493,0.5443,0.5623,0.5696,0.5793,0.5972,0.6193,0.6460,0.6776,0.7115,0.7456,0.7695,0.7918,0.8227,0.8474,0.8694,0.8918,0.9071,0.9194,0.9405,0.9612,0.9804,1.0000,1.0200,1.0404,1.0612,1.0824,1.1041,1.1262,1.1487,1.1717,1.1951,1.2190,1.2434,1.2682,1.2936,1.3195,1.3459,1.3728,1.4002,1.4282,1.4568,1.4859,1.5157,1.5460,1.5769,1.6084,1.6406,1.6734,1.7069,1.7410,1.7758,1.8114,1.8476,1.8845,1.9222,1.9607,1.9999,2.0399,2.0807,2.1223,2.1647,2.2080
