ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,series_title,inflation_rate
2020-11-01,244.20548495129412,213.10462685784424,273.05511346616237,239.32309639409385,248.7090411825493,0.000349951116972358,-0.03986463242837972,0.04234332790455993,0.000349951116972358,-0.03986463242837972,0.04234332790455993,0.0,0.0,0.0,244.29094493352363,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.0010528020356234125
2020-12-01,244.98931284727126,214.12346203442578,272.10264034702453,240.04187831719565,249.59575248652936,-0.005699198207416466,-0.047440290638292165,0.033818596912391925,-0.005699198207416466,-0.047440290638292165,0.033818596912391925,0.0,0.0,0.0,243.5930701946559,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",-0.0028649203292607783
2021-01-01,245.79926833978098,217.94714095110038,278.0581146192022,240.76299234474945,250.54118486027602,0.012280275859275568,-0.03375703308272266,0.056672069218449896,0.012280275859275568,-0.03375703308272266,0.056672069218449896,0.0,0.0,0.0,248.81775116100158,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.020998023420623957
2021-02-01,246.6092238322907,229.0240944429515,284.9271446428086,241.47176033932976,251.45629755857973,0.03778401443940001,-0.0094016022674689,0.0842047892117753,0.03778401443940001,-0.0094016022674689,0.0842047892117753,0.0,0.0,0.0,255.92711030645918,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.027778843503310502
2021-03-01,247.34079653520268,219.51811308566892,274.8876804730096,242.16950340541086,252.23477003313818,-0.0008726824644288252,-0.027151636002938656,0.02609202727471679,-0.0008726824644288252,-0.027151636002938656,0.02609202727471679,0.0,0.0,0.0,247.12494655932855,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",-0.03561827273887719
2021-04-01,248.1507520277124,225.7149340457658,281.33424300839584,242.9627801081162,253.0827518803455,0.018972778851015105,-0.010842857290453922,0.04756585656981856,0.018972778851015105,-0.010842857290453922,0.04756585656981856,0.0,0.0,0.0,252.85886136764725,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.022676345125124175
2021-05-01,248.93457992368954,227.87164223676356,284.9773313315057,243.76092516326565,253.87856377054558,0.028111838837647476,3.441152097846631e-05,0.05476732401060488,0.028111838837647476,3.441152097846631e-05,0.05476732401060488,0.0,0.0,0.0,255.9325887156218,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.012009909966525956
2021-06-01,249.74453541619926,227.01171671658372,287.92888577896315,244.54837575633564,254.75893637378297,0.030520383326326606,0.00018098452273439337,0.060943723492441676,0.030520383326326606,0.00018098452273439337,0.060943723492441676,0.0,0.0,0.0,257.366834370757,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.005572767985594584
2021-07-01,250.52836331217637,228.2181590779234,285.9014797104941,245.31773005433854,255.61366511428378,0.026374644447543876,-0.0012652819135986065,0.05530875770333859,0.026374644447543876,-0.0012652819135986065,0.05530875770333859,0.0,0.0,0.0,257.13595981856014,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",-0.0008978695642560819
2021-08-01,251.33831880468608,231.52765015334532,284.6514946227048,246.07308590155705,256.46237165637507,0.024684376404682372,-0.0046432100082686705,0.05446618414534264,0.024684376404682372,-0.0046432100082686705,0.05446618414534264,0.0,0.0,0.0,257.542448470981,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.0015783365221313517
2021-09-01,252.14827429719583,229.5554451645722,285.55753755577047,246.79353211001822,257.28677434869445,0.024152306036376494,-0.004859622411471577,0.05279276443321739,0.024152306036376494,-0.004859622411471577,0.05279276443321739,0.0,0.0,0.0,258.23823658456587,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.0026943651830467763
2021-10-01,252.93210219317294,225.93606854398084,283.69999546344866,247.5375993888936,258.17595290833975,0.007534583850620231,-0.019361257170496922,0.035661334154008406,0.007534583850620231,-0.019361257170496922,0.035661334154008406,0.0,0.0,0.0,254.83784032566103,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",-0.013343372611223758
2021-11-01,253.74205768568268,224.7369296520204,282.09284082386614,248.30741662991952,259.0271508425614,0.005681070714198462,-0.02412354778320979,0.03720810728089093,0.005681070714198462,-0.02412354778320979,0.03720810728089093,0.0,0.0,0.0,255.1835842585613,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.0013548831281793294
2021-12-01,254.52588558165976,226.13121545760143,282.11517414647943,249.06375360099452,259.8383571664068,0.0015569587929222706,-0.02703154915329965,0.030656635944460088,0.0015569587929222706,-0.02703154915329965,0.030656635944460088,0.0,0.0,0.0,254.92217189724246,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",-0.0010254594936693895
2022-01-01,255.3358410741695,227.32871578906224,285.35291086263055,249.83934016779995,260.71267090981206,0.006324811500725712,-0.02456712800015338,0.03793874820002137,0.006324811500725712,-0.02456712800015338,0.03793874820002137,0.0,0.0,0.0,256.9507921383429,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.007894975626337786
2022-02-01,256.1457965666792,231.34450370926234,288.7332107257515,250.56242739434006,261.6193635732172,0.015095073372375136,-0.016557521793156782,0.04597495443362728,0.015095073372375136,-0.016557521793156782,0.04597495443362728,0.0,0.0,0.0,260.0123361598787,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.011774610646370753
2022-03-01,256.87736926959116,233.38532114694976,289.3068710194871,251.21073010628024,262.4406013059758,0.018130266496502647,-0.013933659587094074,0.05094751081276028,0.018130266496502647,-0.013933659587094074,0.05094751081276028,0.0,0.0,0.0,261.53462443136937,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.005820599374940949
2022-04-01,257.68732476210084,236.5815882676703,293.19148583470985,251.92487295938176,263.3649521879131,0.02180345462036798,-0.009772144236331699,0.05195056586590002,0.02180345462036798,-0.009772144236331699,0.05195056586590002,0.0,0.0,0.0,263.30579865379536,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.006726681415606839
2022-05-01,258.47115265807804,237.75392952802272,293.58538875192295,252.61597894625416,264.248512360059,0.03032353774472157,0.0010957530359162785,0.05999972516786185,0.03032353774472157,0.0010957530359162785,0.05999972516786185,0.0,0.0,0.0,266.3089124116269,"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",0.011276805310930449
