index,year,period,periodName,value,footnotes,series_title,series_id,seasonality,survey_name,survey_abbreviation,measure_data_type,area,item,commerce_industry,latest,BY,BY_VALUE
42,1989,M13,Annual,110.2,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.5159176029962547
43,1988,M13,Annual,105.5,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.49391385767790263
44,1987,M13,Annual,103.3,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.4836142322097378
45,1986,M13,Annual,100.8,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.47191011235955055
46,1995,M13,Annual,128.2,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6570989236289082
47,1994,M13,Annual,117.0,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5996924654023578
48,1993,M13,Annual,111.4,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5709892362890826
49,1992,M13,Annual,111.7,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5725269092772938
50,1991,M13,Annual,113.1,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5797027165556125
51,1990,M13,Annual,116.5,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5971296770886725
52,1989,M13,Annual,118.8,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6089185033316248
53,1988,M13,Annual,113.0,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5791901588928755
